depth,width,num_traces,total_nodes,avg_ancestry_size_per_span,total_ancestry_size,bloom_size,hash_size,mode_size
2,1,0,3,30.0,90,72,0,18
2,2,0,7,39.857142857142854,279,216,21,42
2,3,0,13,41.38461538461539,538,432,28,78
2,4,0,21,41.95238095238095,881,720,35,126
2,5,0,31,42.193548387096776,1308,1080,42,186
2,6,0,43,42.30232558139535,1819,1512,49,258
2,7,0,57,42.35087719298246,2414,2016,56,342
2,8,0,73,42.36986301369863,3093,2592,63,438
2,9,0,91,42.37362637362637,3856,3240,70,546
2,10,0,111,42.369369369369366,4703,3960,77,666
2,11,0,133,42.3609022556391,5634,4752,84,798
2,12,0,157,42.35031847133758,6649,5616,91,942
2,13,0,183,42.33879781420765,7748,6552,98,1098
2,14,0,211,42.32701421800948,8931,7560,105,1266
2,15,0,241,42.315352697095435,10198,8640,112,1446
2,16,0,273,42.30402930402931,11549,9792,119,1638
2,17,0,307,42.29315960912052,12984,11016,126,1842
2,18,0,343,42.28279883381924,14503,12312,133,2058
2,19,0,381,42.272965879265094,16106,13680,140,2286
2,20,0,421,42.263657957244654,17793,15120,147,2526
3,1,0,4,33.0,132,108,0,24
3,2,0,15,42.86666666666667,643,504,49,90
3,3,0,40,43.375,1735,1404,91,240
3,4,0,85,43.305882352941175,3681,3024,147,510
3,5,0,156,43.16025641025641,6733,5580,217,936
3,6,0,259,43.02316602316602,11143,9288,301,1554
3,7,0,400,42.9075,17163,14364,399,2400
3,8,0,585,42.81196581196581,25045,21024,511,3510
3,9,0,820,42.732926829268294,35041,29484,637,4920
3,10,0,1111,42.66696669666967,47403,39960,777,6666
3,11,0,1464,42.611338797814206,62383,52668,931,8784
3,12,0,1885,42.56392572944297,80233,67824,1099,11310
3,13,0,2380,42.523109243697476,101205,85644,1281,14280
3,14,0,2955,42.48764805414552,125551,106344,1477,17730
3,15,0,3616,42.45658185840708,153523,130140,1687,21696
3,16,0,4369,42.42915999084459,185373,157248,1911,26214
3,17,0,5220,42.40478927203065,221353,187884,2149,31320
3,18,0,6175,42.382995951417,261715,222264,2401,37050
3,19,0,7240,42.363397790055245,306711,260604,2667,43440
3,20,0,8421,42.34568341052132,356593,303120,2947,50526
4,1,0,5,34.8,174,144,0,30
4,2,0,31,44.225806451612904,1371,1080,105,186
4,3,0,121,44.01652892561984,5326,4320,280,726
4,4,0,341,43.639296187683286,14881,12240,595,2046
4,5,0,781,43.352112676056336,33858,28080,1092,4686
4,6,0,1555,43.142765273311895,67087,55944,1813,9330
4,7,0,2801,42.986790431988574,120406,100800,2800,16806
4,8,0,4681,42.867122409741505,200661,168480,4095,28086
4,9,0,7381,42.772795014225714,315706,265680,5740,44286
4,10,0,11111,42.69669696696967,474403,399960,7777,66666
4,11,0,16105,42.63408879230053,686622,579744,10248,96630
4,12,0,22621,42.581716104504665,963241,814320,13195,135726
4,13,0,30941,42.53728063087812,1316146,1113840,16660,185646
4,14,0,41371,42.499117739479345,1758231,1489320,20685,248226
4,15,0,54241,42.46599435851109,2303398,1952640,25312,325446
4,16,0,69905,42.43697875688434,2966557,2516544,30583,419430
4,17,0,88741,42.41135439086781,3763626,3194640,36540,532446
4,18,0,111151,42.388561506419194,4711531,4001400,43225,666906
4,19,0,137561,42.368156672312644,5828206,4952160,50680,825366
4,20,0,168421,42.349784171807556,7132593,6063120,58947,1010526
5,1,0,6,36.0,216,180,0,36
5,2,0,63,44.87301587301587,2827,2232,217,378
5,3,0,364,44.22802197802198,16099,13068,847,2184
5,4,0,1365,43.72234432234432,59681,49104,2387,8190
5,5,0,3906,43.39042498719918,169483,140580,5467,23436
5,6,0,9331,43.162683528024864,402751,335880,10885,55986
5,7,0,19608,42.99811301509588,843107,705852,19607,117648
5,8,0,37449,42.87401532751208,1605589,1348128,32767,224694
5,9,0,66430,42.7772241457173,2841691,2391444,51667,398580
5,10,0,111111,42.6996696996697,4744403,3999960,77777,666666
5,11,0,177156,42.636156833525256,7553251,6377580,112735,1062936
5,12,0,271453,42.58319856476075,11559337,9772272,158347,1628718
5,13,0,402234,42.5383706996425,17110379,14480388,216587,2413404
5,14,0,579195,42.499936981500184,24615751,20850984,289597,3475170
5,15,0,813616,42.46662184617805,34551523,29290140,379687,4881696
5,16,0,1118481,42.4374674223344,47465501,40265280,489335,6710886
5,17,0,1508598,42.411740569721026,63982267,54309492,621187,9051588
5,18,0,2000719,42.388870700983,84808219,72025848,778057,12004314
5,19,0,2613660,42.368407137883274,110736611,94091724,962927,15681960
5,20,0,3368421,42.349989208593584,142652593,121263120,1178947,20210526
6,1,0,7,36.857142857142854,258,216,0,42
6,2,0,127,45.188976377952756,5739,4536,441,762
6,3,0,1093,44.29826166514181,48418,39312,2548,6558
6,4,0,5461,43.74308734663981,238881,196560,9555,32766
6,5,0,19531,43.39808509548922,847608,703080,27342,117186
6,6,0,55987,43.1660028220837,2416735,2015496,65317,335922
6,7,0,137257,42.999730432691955,5902014,4941216,137256,823542
6,8,0,299593,42.87487691634985,12845013,10785312,262143,1797558
6,9,0,597871,42.77771626320728,25575556,21523320,465010,3587226
6,10,0,1111111,42.699966969996694,47444403,39999960,777777,6666666
6,11,0,1948717,42.63634483611525,83086170,70153776,1240092,11692302
6,12,0,3257437,42.5833221026224,138712489,117267696,1900171,19544622
6,13,0,5229043,42.53845455086141,222435408,188245512,2815638,31374258
6,14,0,8108731,42.49999549867914,344621031,291914280,4054365,48652386
6,15,0,12204241,42.46666367863434,518273398,439352640,5695312,73225446
6,16,0,17895697,42.437497963896014,759448605,644245056,7829367,107374182
6,17,0,25646167,42.41176328610821,1087699164,923261976,10560186,153877002
6,18,0,36012943,42.3888878784497,1526548603,1296465912,14005033,216077658
6,19,0,49659541,42.36842032027642,2103996306,1787743440,18295620,297957246
6,20,0,67368421,42.349999460429686,2853052593,2425263120,23578947,404210526
7,1,0,8,37.5,300,252,0,48
7,2,0,255,45.345098039215685,11563,9144,889,1530
7,3,0,3280,44.32164634146341,145375,118044,7651,19680
7,4,0,21845,43.7482719157702,955681,786384,38227,131070
7,5,0,97656,43.39961702301958,4238233,3515580,136717,585936
7,6,0,335923,43.1665560262322,14500639,12093192,391909,2015538
7,7,0,960800,42.999961490424646,41314363,34588764,960799,5764800
7,8,0,2396745,42.87498461455015,102760405,86282784,2097151,14380470
7,9,0,5380840,42.77777094282677,230180341,193710204,4185097,32285040
7,10,0,11111111,42.69999669699997,474444403,399999960,7777777,66666666
7,11,0,21435888,42.63636192725023,913948279,771691932,13641019,128615328
7,12,0,39089245,42.58333239744078,1664550313,1407212784,22802059,234535470
7,13,0,67977560,42.538461000953845,2891660785,2447192124,36603301,407865360
7,14,0,113522235,42.49999967847708,4824694951,4086800424,56761117,681133410
7,15,0,183063616,42.46666646746451,7774101523,6590290140,85429687,1098381696
7,16,0,286331153,42.4374998727435,12151178269,10307921472,125269879,1717986918
7,17,0,435984840,42.41176462236623,18490886413,15695454204,179523169,2615909040
7,18,0,648232975,42.38888883275338,27477875515,23336387064,252090601,3889397850
7,19,0,943531280,42.36842101408657,39975930511,33967126044,347616787,5661187680
7,20,0,1347368421,42.34999997302148,57061052593,48505263120,471578947,8084210526
8,1,0,9,38.0,342,288,0,54
8,2,0,511,45.42270058708415,23211,18360,1785,3066
8,3,0,9841,44.32943806523727,436246,354240,22960,59046
8,4,0,87381,43.74956798388666,3822881,3145680,152915,524286
8,5,0,488281,43.399923404760784,21191358,17578080,683592,2929686
8,6,0,2015539,43.16664822660341,87004063,72559368,2351461,12093234
8,7,0,6725601,42.99999449863291,289200806,242121600,6725600,40353606
8,8,0,19173961,42.87499807681887,822083541,690262560,16777215,115043766
8,9,0,48427561,42.777777018338796,2071623406,1743392160,37665880,290565366
8,10,0,111111111,42.6999996697,4744444403,3999999960,77777777,666666666
8,11,0,235794769,42.636363480989694,10053431478,8488611648,150051216,1414768614
8,12,0,469070941,42.58333325534229,19974604201,16886553840,273624715,2814425646
8,13,0,883708281,42.538461497114795,37591590686,31813498080,475842920,5302249686
8,14,0,1589311291,42.49999997703408,67545729831,57215206440,794655645,9535867746
8,15,0,2745954241,42.466666653386525,116611523398,98854352640,1281445312,16475725446
8,16,0,4581298449,42.43749999204647,194418852893,164926744128,2004318071,27487790694
8,17,0,7411742281,42.41176470096964,314345069646,266822722080,3051893880,44470453686
8,18,0,11668193551,42.38888888577025,494601759931,420054967800,4537630825,70009161306
8,19,0,17927094321,42.3684210506029,759542680406,645375395520,6604718960,107562565926
8,20,0,26947368421,42.34999999865107,1141221052593,970105263120,9431578947,161684210526
9,1,0,10,38.4,384,324,0,60
9,2,0,1023,45.4613880742913,46507,36792,3577,6138
9,3,0,29524,44.3320349546132,1308859,1062828,68887,177144
9,4,0,349525,43.74989199628067,15291681,12582864,611667,2097150
9,5,0,2441406,43.39998468095843,105956983,87890580,3417967,14648436
9,6,0,12093235,43.166663593323044,522024607,435356424,14108773,72559410
9,7,0,47079208,42.99999921409043,2024405907,1694851452,47079207,282475248
9,8,0,153391689,42.87499975960236,6576668629,5522100768,134217727,920350134
9,9,0,435848050,42.77777769339567,18644610991,15690529764,338992927,2615088300
9,10,0,1111111111,42.69999996697,47444444403,39999999960,777777777,6666666666
9,11,0,2593742460,42.63636362223873,110587746667,93374728524,1650563383,15562454760
9,12,0,5628851293,42.58333332683408,239695250857,202638646512,3283496587,33773107758
9,13,0,11488207654,42.53846153528102,488690679399,413575475508,6185957967,68929245924
9,14,0,22250358075,42.49999999835958,945640218151,801012890664,11125179037,133502148450
9,15,0,41189313616,42.466666665781325,1749172851523,1482815290140,19221679687,247135881696
9,16,0,73300775185,42.437499999502904,3110701646877,2638827906624,32069089143,439804651110
9,17,0,125999618778,42.41176470559337,5343866184607,4535986275972,51882195967,755997712668
9,18,0,210027483919,42.388888888715634,8902831679419,7560989421048,81677354857,1260164903514
9,19,0,340614792100,42.36842105252481,14431310928411,12262132515564,125489660247,2043688752600
9,20,0,538947368421,42.34999999993256,22824421052593,19402105263120,188631578947,3233684210526
10,1,0,11,38.72727272727273,426,360,0,66
10,2,0,2047,45.480703468490475,93099,73656,7161,12282
10,3,0,88573,44.3329005453129,3926698,3188592,206668,531438
10,4,0,1398101,43.74997299908948,61166881,50331600,2446675,8388606
10,5,0,12207031,43.39999693619194,529785108,439453080,17089842,73242186
10,6,0,72559411,43.16666615444274,3132147871,2612138760,84652645,435356466
10,7,0,329554457,42.999999887727206,14170841614,11863960416,329554456,1977326742
10,8,0,1227133513,42.874999969950295,52613349333,44176806432,1073741823,7362801078
10,9,0,3922632451,42.77777776840199,167801499256,141214768200,3050936350,23535794706
10,10,0,11111111111,42.699999996697,474444444403,399999999960,7777777777,66666666666
10,11,0,28531167061,42.636363635079555,1216465213746,1027122014160,18156197220,171187002366
10,12,0,67546215517,42.58333333279173,2876343010729,2431663758576,39401959051,405277293102
10,13,0,149346699503,42.538461538216886,6352978832668,5376481182072,80417453578,896080197018
10,14,0,311505013051,42.499999999882824,13238963054631,11214180469800,155752506525,1869030078306
10,15,0,617839704241,42.466666666607644,26237592773398,22242229352640,288325195312,3707038225446
10,16,0,1172812402961,42.43749999996893,49771226350621,42221246506560,513105426295,7036874417766
10,17,0,2141993519227,42.41176470586535,90845725138944,77111766692136,881997331446,12851961115362
10,18,0,3780494710543,42.388888888879265,160250970230203,136097809579512,1470192387433,22682968263258
10,19,0,6471681049901,42.36842105262596,274194907640506,232980517796400,2384303544700,38830086299406
10,20,0,10778947368421,42.349999999996626,456488421052593,388042105263120,3772631578947,64673684210526
